商品名称,店铺名,商品售价,商品分类,佣金比例,销量,销量环比,总销量,总销售额,销售额,商品上架时间,店铺总销量
ซิโอร่า เซรั่ม 5 ขวด - Ciora Niacinamide 10% Serum  - (ส่งตรงจากโรงงาน),ซิโอร่า มอลล์,฿105.00,美妆个护-美容护肤-面部精华液,15%,68947,513.19%,92847,9191853,6825753,2025-06-29 06:32:30,234991
ลิปมินิแมท จูบไม่หลุด KATHY AMREZ MINI MATTE LIGHT LIP,Kathy Cosmetics,฿119.48,美妆个护-美妆-口红与唇彩,15%,67637,47.18%,814640,85320022.33,7004077.4,2022-06-29 20:07:41,3967577
【พิเศษสำหรับ pimrypie】PINKFLASH ลิปสติกเนื้อลิควิดเนื้อแมตต์เนื้อนุ่ม VE ให้ความชุ่มชื้นยาวนาน 24 สี ผู้หญิง Cosmetics,PINKFLASH.TH,฿35.00,美妆个护-美妆-口红与唇彩,2%,67108,404.57%,775085,14018830.99,1178528.6,2023-06-26 16:01:20,4406503
เซรั่มไฮยา พริตตี้เกิร์ลล,Pretty Girl Thailand,฿86.00,美妆个护-洗浴与身体护理-身体霜、乳,1%,66255,2820.01%,100755,8724072.66,5556228,2024-09-12 21:34:36,359358
กันแดดกาญจนา SPF 50+ PA++++,มาร์คสมุนไพรกาญจนา,฿86.00,美妆个护-美容护肤-脸部防晒霜与晒后修复,15%,66219,64.61%,505819,38711451.72,5231301,2024-11-18 10:44:58,738238
ไม่จำเป็นต้องฟอกขาว 16 สีซื้อ 2025 สินค้าฮอตใน สีย้อมผม STYLE FIT ยาย้อมผม อ่อนโยนไม่ปิดกั้นทำสีง่ อุปกรณ์ย้อมผมฟรี,BIAKSASHOP,฿60.00,美妆个护-头部护理与造型-染发用品,11%,65410,16.22%,196158,10620610,3534598,2025-05-04 04:53:17,556365
[ ส่งด่วน ] JAVANA DOUBLE EXTRA BOOSTER  WHITE BODY CREAM 200g. บูสเตอร์จาวาน่า สำหรับผิวกาย,javana.th,฿108.00,美妆个护-洗浴与身体护理-身体霜、乳,5%,64896,92.43%,112996,12160874.5,6812361,2025-05-11 11:02:40,173857
ที่สุดของ LPP ต้องMFเท่านั้น เคราตินสดเกรดพรีเมี่ยม ขนาดใหญ่530ml ผม บำรุง,MF ทรีทเม้นท์ เคราติน,฿95.00,美妆个护-头部护理与造型-洗发护发,15%,64047,0.2%,204547,18086712.95,5638238,2024-03-26 11:22:16,319571
BODANA COCONUT OIL CREAM  ครีมน้ำมันมะพร้าวอเนกประสงค์ 50g มอยส์เจอร์ไรเซอร์  มะพร้าว โบดานา ผิว โคโคนัท ออยล์ ครีม บำรุง Moisturizer Skincare ความชุ่มชื้น ผิวหน้า,Bodana Biotechnology,฿63.00,美妆个护-洗浴与身体护理-身体霜、乳,10%,64026,648.23%,78232,4076320.65,3300701.28,2024-12-09 12:12:12,201752
(มีQR)Livetined Hair Essence เอสเซนส์บํารุงเส้นผม แฮร์เอสเซ้น บำรุง 30ml,LIVETINED THAILAND,฿70.00,美妆个护-头部护理与造型-头发与头皮养护,5%,63389,-7.38%,1386226,85269336.85,3739951,2024-01-04 18:25:34,1799705
